Major Category,Number of Items,Total Score,Total Time Taken,Average CRI,CRI Criteria
9,9,2,255,1.0,Does not understand
6,9,4,421,1.9,Does not understand
5,9,4,212,3.6,Misconception
7,9,4,975,0.9,Does not understand
5,9,5,475,1.7,Does not understand
5,9,5,131,2.1,Does not understand
4,9,6,154,2.6,Misconception
9,9,4,342,2.7,Misconception
7,9,8,502,2.1,Does not understand
5,9,5,687,1.2,Does not understand
5,9,1,1020,2.3,Does not understand
2,9,5,191,1.1,Does not understand
1,9,2,822,3.1,Misconception
3,9,7,628,2.3,Does not understand
6,9,0,41,2.0,Does not understand
5,9,4,460,2.6,Misconception
1,9,1,417,1.3,Does not understand
1,9,5,649,3.1,Misconception
6,9,7,523,3.9,Understand
3,9,7,275,2.0,Does not understand
9,9,1,327,2.0,Does not understand
6,9,2,248,1.1,Does not understand
7,9,4,350,1.1,Does not understand
3,9,6,218,3.4,Misconception
5,9,0,937,1.9,Does not understand
2,9,4,252,1.3,Does not understand
1,9,6,525,3.0,Misconception
6,9,2,301,2.7,Misconception
5,9,4,436,3.4,Misconception
7,9,2,59,1.2,Does not understand
1,9,3,328,0.9,Does not understand
5,9,3,363,2.6,Misconception
4,9,6,292,0.7,Does not understand
6,9,2,67,2.0,Does not understand
4,9,8,257,2.0,Does not understand
2,9,6,128,2.0,Does not understand
3,9,7,181,3.2,Understand
1,9,7,35,3.9,Understand
2,9,4,689,2.9,Misconception
2,9,8,179,2.4,Does not understand
6,9,2,363,0.1,Does not understand
3,9,8,176,2.1,Does not understand
1,9,6,705,3.3,Misconception
8,9,2,409,2.4,Does not understand
5,9,5,475,1.7,Does not understand
6,9,2,591,0.8,Does not understand
1,9,4,1007,1.7,Does not understand
6,9,2,319,2.1,Does not understand
7,9,7,619,1.9,Does not understand
4,9,4,307,1.3,Does not understand
3,9,5,777,1.6,Does not understand
6,9,5,179,0.8,Does not understand
4,9,8,182,3.3,Understand
9,9,8,134,2.0,Does not understand
4,9,2,679,2.0,Does not understand
8,9,5,253,0.2,Does not understand
7,9,5,226,2.0,Does not understand
8,9,2,356,1.3,Does not understand
7,9,6,186,1.1,Does not understand
9,9,3,401,2.1,Does not understand
8,9,4,184,3.1,Misconception
5,9,4,655,2.0,Does not understand
4,9,1,283,0.9,Does not understand
6,9,6,432,2.1,Does not understand
2,9,5,189,2.3,Does not understand
7,9,6,411,1.1,Does not understand
1,9,5,483,2.8,Misconception
5,9,3,325,3.1,Misconception
2,9,7,321,2.0,Does not understand
3,9,5,277,1.8,Does not understand
7,9,5,38,1.2,Does not understand
3,9,5,713,3.1,Misconception
7,9,5,403,1.1,Does not understand
4,9,2,3,1.8,Does not understand
5,9,8,181,2.1,Does not understand
4,9,6,194,2.8,Misconception
9,9,9,150,3.4,Understand
3,9,6,394,2.2,Does not understand
4,9,2,214,4.6,Misconception
9,9,6,725,3.2,Misconception
1,9,2,330,2.6,Misconception
2,9,4,231,1.9,Does not understand
2,9,4,219,1.7,Does not understand
3,9,3,463,2.8,Misconception
8,9,7,337,2.4,Does not understand
9,9,6,500,2.3,Does not understand
3,9,5,213,2.2,Does not understand
1,9,1,595,1.2,Does not understand
9,9,4,257,1.0,Does not understand
1,9,6,815,3.0,Misconception
9,9,1,180,2.8,Misconception
6,9,2,362,2.8,Misconception
1,9,9,276,2.3,Does not understand
5,9,7,110,2.0,Does not understand
2,9,8,166,3.1,Understand
8,9,6,659,2.8,Misconception
4,9,7,460,2.0,Does not understand
9,9,2,127,0.9,Does not understand
2,9,1,24,0.0,Does not understand
3,9,8,320,1.8,Does not understand
7,9,4,292,1.6,Does not understand
6,9,2,403,1.2,Does not understand
7,9,7,428,0.7,Does not understand
7,9,6,938,1.6,Does not understand
7,9,4,699,1.4,Does not understand
4,9,8,223,2.9,Understand
3,9,5,368,0.7,Does not understand
3,9,6,373,2.8,Misconception
7,9,1,352,1.3,Does not understand
7,9,2,283,0.3,Does not understand
9,9,5,408,2.9,Misconception
4,9,5,353,2.3,Does not understand
6,9,3,339,2.3,Does not understand
6,9,1,477,1.2,Does not understand
1,9,8,750,3.3,Understand
2,9,3,443,2.7,Misconception
8,9,4,551,1.2,Does not understand
6,9,5,482,1.7,Does not understand
8,9,2,296,0.2,Does not understand
6,9,5,661,1.9,Does not understand
4,9,3,204,3.1,Misconception
7,9,3,205,0.7,Does not understand
9,9,6,418,2.0,Does not understand
9,9,4,211,1.1,Does not understand
3,9,2,222,2.2,Does not understand
6,9,4,77,3.0,Misconception
